CS_type,phaseOrigin,trial,stim,memcond,cs_duration,iti_duration,phase,category,memCond_by_phase,shocked_day1
CSp,bps,t_001,stims/tools/eraser.jpg,new,4,2,bps1,tool,new_bps_CSp,noUS
CSp,acq,t_002,stims/tools/fan.jpg,old,4,3,bps1,tool,old_acq_CSp,US
CSm,bps,t_003,stims/animals/moth.jpg,new,4,2,bps2,animal,new_bps_CSm,noUS
CSp,bps,t_004,stims/animals/herring.jpg,new,4,2,bps1,animal,new_bps_CSm,noUS
CSp,acq,t_005,stims/tools/envelope_simB.jpg,sim,4,3,bps1,tool,sim_acq_CSp,noUS
CSm,ext,t_006,stims/animals/giraffe_simB.jpg,sim,4,3,bps1,animal,sim_ext_CSm,noUS
CSp,ext,t_007,stims/tools/stove.jpg,old,4,2,bps1,tool,old_ext_CSp,noUS
CSm,ext,t_008,stims/animals/seal.jpg,old,4,2,bps1,animal,old_ext_CSm,noUS
CSm,ext,t_009,stims/animals/quoll_simB.jpg,sim,4,2,bps1,animal,sim_ext_CSm,noUS
CSm,ext,t_010,stims/animals/orca_simB.jpg,sim,4,2,bps1,animal,sim_ext_CSm,noUS
CSm,bps,t_011,stims/animals/donkey.jpg,new,4,2,bps2,animal,new_bps_CSm,noUS
CSm,ext,t_012,stims/animals/starfish.jpg,old,4,2,bps1,animal,old_ext_CSm,noUS
CSp,ext,t_013,stims/tools/plow.jpg,old,4,2,bps1,tool,old_ext_CSp,noUS
CSm,acq,t_014,stims/animals/cow_simB.jpg,sim,4,3,bps1,animal,sim_acq_CSm,noUS
CSp,ext,t_015,stims/tools/mallet.jpg,old,4,2,bps1,tool,old_ext_CSp,noUS
CSm,acq,t_016,stims/animals/hyena.jpg,old,4,3,bps1,animal,old_acq_CSm,noUS
CSp,acq,t_017,stims/tools/extensioncord.jpg,old,4,3,bps1,tool,old_acq_CSp,noUS
CSm,ext,t_018,stims/animals/pig_simB.jpg,sim,4,2,bps1,animal,sim_ext_CSm,noUS
CSm,bps,t_019,stims/animals/dolphin.jpg,new,4,2,bps2,animal,new_bps_CSm,noUS
CSm,bps,t_020,stims/animals/waterbuffalo.jpg,new,4,2,bps1,animal,new_bps_CSm,noUS
CSm,acq,t_021,stims/animals/butterfly_simB.jpg,sim,4,3,bps1,animal,sim_acq_CSm,noUS
CSp,bps,t_022,stims/tools/smartphone.jpg,new,4,2,bps2,tool,new_bps_CSp,noUS
CSm,ext,t_023,stims/animals/camel_simB.jpg,sim,4,2,bps1,animal,sim_ext_CSm,noUS
CSp,acq,t_024,stims/tools/gradcap_simB.jpg,sim,4,3,bps1,tool,sim_acq_CSp,US
CSm,bps,t_025,stims/animals/horse.jpg,new,4,2,bps2,animal,new_bps_CSm,noUS
CSp,ext,t_026,stims/tools/scissors_simB.jpg,sim,4,3,bps1,tool,sim_ext_CSp,noUS
CSm,acq,t_027,stims/animals/canary.jpg,old,4,3,bps1,animal,old_acq_CSm,noUS
CSp,bps,t_028,stims/tools/benchdogs.jpg,new,4,2,bps2,tool,new_bps_CSp,noUS
CSp,ext,t_029,stims/tools/travelmug_simB.jpg,sim,4,3,bps1,tool,sim_ext_CSp,noUS
CSp,bps,t_030,stims/tools/treadmill.jpg,new,4,2,bps2,tool,new_bps_CSp,noUS
CSp,ext,t_031,stims/tools/lighterbic_simB.jpg,sim,4,3,bps1,tool,sim_ext_CSp,noUS
CSm,acq,t_032,stims/animals/finch.jpg,old,4,3,bps1,animal,old_acq_CSm,noUS
CSp,acq,t_033,stims/tools/ropeandpulley.jpg,old,4,3,bps1,tool,old_acq_CSp,noUS
CSp,bps,t_034,stims/tools/levelmount.jpg,new,4,2,bps2,tool,new_bps_CSp,noUS
CSm,bps,t_035,stims/animals/rosechafer.jpg,new,4,2,bps1,animal,new_bps_CSm,noUS
