CS_type,CS_trial,category_trial,trial,phase,mem_cond,us,stimulus,cs_duration,iti_duration,counterbal_order
CSp,CSp_001,tool_001,t_001,ext,sim,0,stims/tools/usb_simA.jpg,5,6,order1
CSm,CSm_001,animal_001,t_002,ext,old,0,stims/animals/marmot.jpg,5,4,order1
CSm,CSm_002,animal_002,t_003,ext,old,0,stims/animals/mouse.jpg,5,5,order1
CSp,CSp_002,tool_002,t_004,ext,old,0,stims/tools/plunger.jpg,5,6,order1
CSm,CSm_003,animal_003,t_005,ext,sim,0,stims/animals/bat_simA.jpg,5,5,order1
CSm,CSm_004,animal_004,t_006,ext,sim,0,stims/animals/cassowary_simA.jpg,5,5,order1
CSp,CSp_003,tool_003,t_007,ext,old,0,stims/tools/gong.jpg,5,4,order1
CSp,CSp_004,tool_004,t_008,ext,sim,0,stims/tools/glasses_simA.jpg,5,6,order1
CSm,CSm_005,animal_005,t_009,ext,sim,0,stims/animals/crab_simA.jpg,5,6,order1
CSm,CSm_006,animal_006,t_010,ext,old,0,stims/animals/capybara.jpg,5,5,order1
CSp,CSp_005,tool_005,t_011,ext,sim,0,stims/tools/hairdryer_simA.jpg,5,4,order1
CSm,CSm_007,animal_007,t_012,ext,sim,0,stims/animals/slug_simA.jpg,5,4,order1
CSp,CSp_006,tool_006,t_013,ext,old,0,stims/tools/faxmachine.jpg,5,6,order1
CSp,CSp_007,tool_007,t_014,ext,sim,0,stims/tools/thimble_simA.jpg,5,4,order1
CSm,CSm_008,animal_008,t_015,ext,old,0,stims/animals/boar.jpg,5,4,order1
CSp,CSp_008,tool_008,t_016,ext,sim,0,stims/tools/paperclip_simA.jpg,5,6,order1
CSm,CSm_009,animal_009,t_017,ext,old,0,stims/animals/aardvark.jpg,5,4,order1
CSp,CSp_009,tool_009,t_018,ext,old,0,stims/tools/squeegee.jpg,5,5,order1
CSm,CSm_010,animal_010,t_019,ext,sim,0,stims/animals/bison_simA.jpg,5,6,order1
CSp,CSp_010,tool_010,t_020,ext,old,0,stims/tools/monkeywrench.jpg,5,4,order1
CSm,CSm_011,animal_011,t_021,ext,sim,0,stims/animals/hawk_simA.jpg,5,4,order1
CSp,CSp_011,tool_011,t_022,ext,sim,0,stims/tools/scales_simA.jpg,5,6,order1
CSm,CSm_012,animal_012,t_023,ext,old,0,stims/animals/rhino.jpg,5,4,order1
CSp,CSp_012,tool_012,t_024,ext,old,0,stims/tools/blower.jpg,5,4,order1
CSp,CSp_013,tool_013,t_025,ext,old,0,stims/tools/rollingpin.jpg,5,4,order1
CSm,CSm_013,animal_013,t_026,ext,sim,0,stims/animals/quoll_simA.jpg,5,5,order1
CSp,CSp_014,tool_014,t_027,ext,sim,0,stims/tools/travelmug_simA.jpg,5,5,order1
CSm,CSm_014,animal_014,t_028,ext,old,0,stims/animals/caterpillarpeacockmoth.jpg,5,5,order1
CSp,CSp_015,tool_015,t_029,ext,old,0,stims/tools/weldinghelmet.jpg,5,6,order1
CSp,CSp_016,tool_016,t_030,ext,old,0,stims/tools/stove.jpg,5,5,order1
CSm,CSm_015,animal_015,t_031,ext,old,0,stims/animals/seal.jpg,5,6,order1
CSm,CSm_016,animal_016,t_032,ext,old,0,stims/animals/skunk.jpg,5,6,order1
CSp,CSp_017,tool_017,t_033,ext,old,0,stims/tools/shoehorn.jpg,5,6,order1
CSm,CSm_017,animal_017,t_034,ext,old,0,stims/animals/starfish.jpg,5,6,order1
CSp,CSp_018,tool_018,t_035,ext,sim,0,stims/tools/lighterbic_simA.jpg,5,6,order1
CSp,CSp_019,tool_019,t_036,ext,sim,0,stims/tools/hockeystick_simA.jpg,5,4,order1
CSm,CSm_018,animal_018,t_037,ext,sim,0,stims/animals/pig_simA.jpg,5,5,order1
CSm,CSm_019,animal_019,t_038,ext,sim,0,stims/animals/camel_simA.jpg,5,5,order1
CSp,CSp_020,tool_020,t_039,ext,old,0,stims/tools/mallet.jpg,5,4,order1
CSm,CSm_020,animal_020,t_040,ext,sim,0,stims/animals/orca_simA.jpg,5,4,order1
CSp,CSp_021,tool_021,t_041,ext,sim,0,stims/tools/scissors_simA.jpg,5,4,order1
CSp,CSp_022,tool_022,t_042,ext,sim,0,stims/tools/paperlantern_simA.jpg,5,6,order1
CSm,CSm_021,animal_021,t_043,ext,sim,0,stims/animals/griffinVulture_simA.jpg,5,4,order1
CSp,CSp_023,tool_023,t_044,ext,old,0,stims/tools/plow.jpg,5,5,order1
CSm,CSm_022,animal_022,t_045,ext,old,0,stims/animals/turkey.jpg,5,4,order1
CSm,CSm_023,animal_023,t_046,ext,sim,0,stims/animals/giraffe_simA.jpg,5,4,order1
CSp,CSp_024,tool_024,t_047,ext,sim,0,stims/tools/funnel_simA.jpg,5,6,order1
CSm,CSm_024,animal_024,t_048,ext,old,0,stims/animals/cricket.jpg,5,5,order1
