CS_type,phaseOrigin,trial,stim,memcond,cs_duration,iti_duration,phase,category,memCon_by_phase,shocked_day1
CSm,ext,t_001,stims/tools/sander.jpg,old,5,2,bps1,tool,OLD_EXT_CS-,noUS
CSp,acq,t_002,stims/animals/giraffe_simB.jpg,sim,5,3,bps1,animal,SIM_ACQ_a_CS+,noUS
CSp,bps,t_003,stims/animals/racoon.jpg,new,5,2,bps1,animal,new_CSp,noUS
CSp,ext,t_004,stims/animals/mahimahi.jpg,old,5,3,bps1,animal,OLD_EXT_CS+,noUS
CSm,bps,t_005,stims/tools/hourglass.jpg,new,5,3,bps1,tool,new_CSm,noUS
CSp,bps,t_006,stims/animals/porcupine.jpg,new,5,2,bps1,animal,new_CSp,noUS
CSp,acq,t_007,stims/animals/herculesbeetle.jpg,old,5,2,bps1,animal,OLD_ACQ_CS+,YES_US
CSm,ext,t_008,stims/tools/thermometer.jpg,old,5,2,bps1,tool,old_ext_CSm,noUS
CSp,ext,t_009,stims/animals/macaw_simB.jpg,sim,5,2,bps1,animal,sim_ext_a_CSp,noUS
CSm,bps,t_010,stims/tools/wheelbarrow.jpg,new,5,3,bps1,tool,NEW_CS-,noUS
CSp,acq,t_011,stims/animals/bat_simB.jpg,sim,5,2,bps1,animal,sim_acq_b_CSp,noUS
CSm,bps,t_012,stims/tools/camera.jpg,new,5,3,bps1,tool,NEW_CS-,noUS
CSp,acq,t_013,stims/animals/ant.jpg,old,5,2,bps1,animal,OLD_ACQ_CS+,noUS
CSm,ext,t_014,stims/tools/envelope_simB.jpg,sim,5,3,bps1,tool,sim_ext_a_CSm,noUS
CSp,acq,t_015,stims/animals/rabbitt_simB.jpg,sim,5,2,bps1,animal,sim_acq_a_CSp,noUS
CSp,ext,t_016,stims/animals/redpanda_simB.jpg,sim,5,2,bps1,animal,SIM_EXT_a_CS+,noUS
CSm,acq,t_017,stims/tools/padlock.jpg,old,5,3,bps1,tool,old_acq_CSm,noUS
CSp,acq,t_018,stims/animals/mink.jpg,old,5,3,bps1,animal,old_acq_CSp,noUS
CSm,acq,t_019,stims/tools/spoon.jpg,old,5,2,bps1,tool,OLD_ACQ_CS-,noUS
