CS_type,phaseOrigin,trial,stim,mem_con,cs_duration,iti_duration,phase,category,memCon_by_phase,shocked_day1
CSp,acq,t_001,stims/tools/netscoop_simB.jpg,sim,5,2,bps1,tool,sim_acq_a_CSp,noUS
CSm,bps,t_002,stims/animals/horse.jpg,new,5,2,bps1,animal,NEW_BPS_CS-,noUS
CSm,bps,t_003,stims/animals/racoon.jpg,new,5,2,bps1,animal,new_bps_CSm,noUS
CSm,ext,t_004,stims/animals/slug_simB.jpg,sim,5,3,bps1,animal,SIM_EXT_a_CS-,noUS
CSp,acq,t_005,stims/tools/barstool_simB.jpg,sim,5,3,bps1,tool,sim_acq_a_CSp,YES_US
CSm,bps,t_006,stims/animals/dolphin.jpg,new,5,2,bps1,animal,NEW_BPS_CS-,noUS
CSm,acq,t_007,stims/animals/herculesbeetle.jpg,old,5,3,bps1,animal,old_acq_CSm,noUS
CSm,acq,t_008,stims/animals/orangutan_simB.jpg,sim,5,2,bps1,animal,sim_acq_a_CSm,noUS
CSm,bps,t_009,stims/animals/pigeon.jpg,new,5,3,bps1,animal,NEW_BPS_CS-,noUS
CSm,acq,t_010,stims/animals/gerbil.jpg,old,5,2,bps1,animal,OLD_ACQ_CS-,noUS
CSp,bps,t_011,stims/tools/ruler.jpg,new,5,3,bps1,tool,new_bps_CSp,noUS
CSm,acq,t_012,stims/animals/butterfly_simB.jpg,sim,5,2,bps1,animal,sim_acq_a_CSm,noUS
CSp,acq,t_013,stims/tools/reflexhammer.jpg,old,5,2,bps1,tool,OLD_ACQ_CS+,noUS
CSm,ext,t_014,stims/animals/griffinVulture_simB.jpg,sim,5,2,bps1,animal,sim_ext_a_CSm,noUS
CSp,bps,t_015,stims/tools/camera.jpg,new,5,2,bps1,tool,NEW_BPS_CS+,noUS
CSp,bps,t_016,stims/tools/viceclamp.jpg,new,5,3,bps1,tool,NEW_BPS_CS+,noUS
CSp,acq,t_017,stims/tools/neckpillow_simB.jpg,sim,5,2,bps1,tool,SIM_ACQ_a_CS+,noUS
CSm,ext,t_018,stims/animals/giraffe_simB.jpg,sim,5,2,bps1,animal,sim_ext_a_CSm,noUS
CSp,bps,t_019,stims/tools/hourglass.jpg,new,5,3,bps1,tool,new_bps_CSp,noUS
CSm,ext,t_020,stims/animals/crab_simB.jpg,sim,5,3,bps1,animal,SIM_EXT_a_CS-,noUS
CSp,bps,t_021,stims/tools/smartphone.jpg,new,5,3,bps1,tool,NEW_BPS_CS+,noUS
CSm,bps,t_022,stims/animals/firebug.jpg,new,5,2,bps1,animal,new_bps_CSm,noUS
CSp,ext,t_023,stims/tools/funnel_simB.jpg,sim,5,3,bps1,tool,SIM_EXT_a_CS+,noUS
CSp,ext,t_024,stims/tools/lighterbic_simB.jpg,sim,5,3,bps1,tool,sim_ext_a_CSp,noUS
CSm,acq,t_025,stims/animals/hummingbird.jpg,old,5,2,bps1,animal,OLD_ACQ_CS-,noUS
CSp,bps,t_026,stims/tools/wheelbarrow.jpg,new,5,2,bps1,tool,NEW_BPS_CS+,noUS
CSp,acq,t_027,stims/tools/gradcap_simB.jpg,sim,5,3,bps1,tool,SIM_ACQ_a_CS+,YES_US
CSp,bps,t_028,stims/tools/treadmill.jpg,new,5,3,bps1,tool,NEW_BPS_CS+,noUS
CSm,bps,t_029,stims/animals/palmcockatoo.jpg,new,5,3,bps1,animal,new_bps_CSm,noUS
CSm,acq,t_030,stims/animals/finch.jpg,old,5,3,bps1,animal,old_acq_CSm,noUS
CSp,ext,t_031,stims/tools/mallet.jpg,old,5,2,bps1,tool,OLD_EXT_CS+,noUS
CSp,ext,t_032,stims/tools/paperlantern_simB.jpg,sim,5,3,bps1,tool,SIM_EXT_a_CS+,noUS
CSm,ext,t_033,stims/animals/bison_simB.jpg,sim,5,3,bps1,animal,sim_ext_a_CSm,noUS
CSm,ext,t_034,stims/animals/cricket.jpg,old,5,3,bps1,animal,old_ext_CSm,noUS
CSp,ext,t_035,stims/tools/stove.jpg,old,5,2,bps1,tool,old_ext_CSp,noUS
CSp,ext,t_036,stims/tools/shoehorn.jpg,old,5,2,bps1,tool,old_ext_CSp,noUS
CSm,bps,t_037,stims/animals/octopus.jpg,new,5,3,bps1,animal,new_bps_CSm,noUS
CSp,bps,t_038,stims/tools/videogamecontroller.jpg,new,5,2,bps1,tool,new_bps_CSp,noUS
CSm,bps,t_039,stims/animals/porcupine.jpg,new,5,3,bps1,animal,new_bps_CSm,noUS
CSm,ext,t_040,stims/animals/turkey.jpg,old,5,2,bps1,animal,old_ext_CSm,noUS
CSm,ext,t_041,stims/animals/boar.jpg,old,5,2,bps1,animal,OLD_EXT_CS-,noUS
CSp,ext,t_042,stims/tools/paperclip_simB.jpg,sim,5,2,bps1,tool,sim_ext_a_CSp,noUS
CSm,bps,t_043,stims/animals/anteater.jpg,new,5,3,bps1,animal,new_bps_CSm,noUS
CSm,acq,t_044,stims/animals/shrimp_simB.jpg,sim,5,3,bps1,animal,sim_acq_a_CSm,noUS
CSp,acq,t_045,stims/tools/extensioncord.jpg,old,5,3,bps1,tool,old_acq_CSp,noUS
CSp,acq,t_046,stims/tools/fan.jpg,old,5,3,bps1,tool,OLD_ACQ_CS+,YES_US
CSm,acq,t_047,stims/animals/prayingmantis.jpg,old,5,3,bps1,animal,old_acq_CSm,noUS
CSm,acq,t_048,stims/animals/otter_simB.jpg,sim,5,2,bps1,animal,SIM_ACQ_a_CS-,noUS
CSp,bps,t_049,stims/tools/sparkplug.jpg,new,5,3,bps1,tool,new_bps_CSp,noUS
CSm,acq,t_050,stims/animals/kangaroo_simB.jpg,sim,5,2,bps1,animal,SIM_ACQ_a_CS-,noUS
CSp,acq,t_051,stims/tools/jumpercables.jpg,old,5,2,bps1,tool,old_acq_CSp,YES_US
CSp,bps,t_052,stims/tools/levelmount.jpg,new,5,2,bps1,tool,new_bps_CSp,noUS
CSp,ext,t_053,stims/tools/blower.jpg,old,5,3,bps1,tool,old_ext_CSp,noUS
CSp,bps,t_054,stims/tools/carpetblower.jpg,new,5,3,bps1,tool,new_bps_CSp,noUS
CSp,ext,t_055,stims/tools/plow.jpg,old,5,3,bps1,tool,OLD_EXT_CS+,noUS
CSp,bps,t_056,stims/tools/measuringtape.jpg,new,5,2,bps1,tool,new_bps_CSp,noUS
CSp,acq,t_057,stims/tools/testtube_simB.jpg,sim,5,2,bps1,tool,sim_acq_a_CSp,noUS
CSm,bps,t_058,stims/animals/perch.jpg,new,5,3,bps1,animal,new_bps_CSm,noUS
CSm,ext,t_059,stims/animals/rhino.jpg,old,5,3,bps1,animal,old_ext_CSm,noUS
CSp,acq,t_060,stims/tools/padlock.jpg,old,5,3,bps1,tool,old_acq_CSp,YES_US
CSm,acq,t_061,stims/animals/elephant_simB.jpg,sim,5,2,bps1,animal,sim_acq_a_CSm,noUS
CSp,ext,t_062,stims/tools/hockeystick_simB.jpg,sim,5,3,bps1,tool,sim_ext_a_CSp,noUS
CSp,acq,t_063,stims/tools/baseball_simB.jpg,sim,5,3,bps1,tool,sim_acq_a_CSp,YES_US
CSp,acq,t_064,stims/tools/routerplane.jpg,old,5,2,bps1,tool,old_acq_CSp,noUS
CSm,ext,t_065,stims/animals/aardvark.jpg,old,5,2,bps1,animal,old_ext_CSm,noUS
CSm,acq,t_066,stims/animals/mahimahi.jpg,old,5,2,bps1,animal,old_acq_CSm,noUS
CSm,ext,t_067,stims/animals/hawk_simB.jpg,sim,5,3,bps1,animal,sim_ext_a_CSm,noUS
CSm,bps,t_068,stims/animals/peacock.jpg,new,5,2,bps1,animal,new_bps_CSm,noUS
CSm,bps,t_069,stims/animals/moth.jpg,new,5,3,bps1,animal,NEW_BPS_CS-,noUS
CSm,ext,t_070,stims/animals/capybara.jpg,old,5,3,bps1,animal,OLD_EXT_CS-,noUS
CSp,ext,t_071,stims/tools/scales_simB.jpg,sim,5,2,bps1,tool,sim_ext_a_CSp,noUS
CSp,ext,t_072,stims/tools/monkeywrench.jpg,old,5,3,bps1,tool,old_ext_CSp,noUS
