CS_type,phaseOrigin,trial,stim,mem_con,cs_duration,iti_duration,phase,category,memCon_by_phase,shocked_day1
CSp,bps,t_001,stims/animals/octopus.jpg,new,5,3,bps2,animal,new_bps_CSp,noUS
CSp,acq,t_002,stims/animals/sheep.jpg,old,5,2,bps2,animal,OLD_ACQ_CSp,YES_US
CSp,ext,t_003,stims/animals/crab_simB.jpg,sim,5,3,bps2,animal,SIM_EXT_b_CSp,noUS
CSp,bps,t_004,stims/animals/dolphin.jpg,new,5,2,bps2,animal,NEW_CSp,noUS
CSm,acq,t_005,stims/tools/ipod_simB.jpg,sim,5,3,bps2,tool,sim_acq_b_CSm,noUS
CSm,acq,t_006,stims/tools/funnel_simB.jpg,sim,5,2,bps2,tool,sim_acq_b_CSm,noUS
CSp,bps,t_007,stims/animals/koi.jpg,new,5,3,bps2,animal,NEW_CSp,noUS
CSm,ext,t_008,stims/tools/baseball_simB.jpg,sim,5,3,bps2,tool,sim_ext_b_CSm,noUS
CSm,acq,t_009,stims/tools/weedeater.jpg,old,5,3,bps2,tool,old_acq_CSm,noUS
CSp,acq,t_010,stims/animals/pig_simB.jpg,sim,5,3,bps2,animal,sim_acq_b_CSp,noUS
CSm,ext,t_011,stims/tools/magnifyingglass_simB.jpg,sim,5,2,bps2,tool,sim_ext_b_CSm,noUS
CSp,acq,t_012,stims/animals/mouse.jpg,old,5,3,bps2,animal,old_acq_CSp,noUS
CSp,acq,t_013,stims/animals/hawk_simB.jpg,sim,5,3,bps2,animal,sim_acq_b_CSp,noUS
CSp,ext,t_014,stims/animals/starfish.jpg,old,5,2,bps2,animal,old_ext_CSp,noUS
CSp,ext,t_015,stims/animals/zebra.jpg,old,5,2,bps2,animal,OLD_EXT_CSp,noUS
CSp,bps,t_016,stims/animals/salmon.jpg,new,5,3,bps2,animal,new_bps_CSp,noUS
CSm,acq,t_017,stims/tools/glasses_simB.jpg,sim,5,3,bps2,tool,sim_acq_b_CSm,noUS
CSm,bps,t_018,stims/tools/viceclamp.jpg,new,5,2,bps2,tool,NEW_CSm,noUS
CSp,bps,t_019,stims/animals/dog.jpg,new,5,3,bps2,animal,NEW_CSp,noUS
CSp,acq,t_020,stims/animals/partridge.jpg,old,5,3,bps2,animal,old_acq_CSp,noUS
CSm,acq,t_021,stims/tools/spoon.jpg,old,5,3,bps2,tool,old_acq_CSm,noUS
CSp,ext,t_022,stims/animals/finch.jpg,old,5,2,bps2,animal,old_ext_CSp,noUS
CSm,acq,t_023,stims/tools/thimble_simB.jpg,sim,5,3,bps2,tool,SIM_ACQ_b_CSm,noUS
CSm,ext,t_024,stims/tools/testtube_simB.jpg,sim,5,2,bps2,tool,sim_ext_b_CSm,noUS
CSm,acq,t_025,stims/tools/lantern_simB.jpg,sim,5,2,bps2,tool,sim_acq_b_CSm,noUS
CSp,ext,t_026,stims/animals/cassowary_simB.jpg,sim,5,3,bps2,animal,sim_ext_b_CSp,noUS
CSp,ext,t_027,stims/animals/macaw_simB.jpg,sim,5,3,bps2,animal,sim_ext_b_CSp,noUS
CSp,bps,t_028,stims/animals/horse.jpg,new,5,2,bps2,animal,NEW_CSp,noUS
CSm,bps,t_029,stims/tools/eraser.jpg,new,5,2,bps2,tool,new_bps_CSm,noUS
CSm,acq,t_030,stims/tools/typewriter.jpg,old,5,3,bps2,tool,OLD_ACQ_CSm,noUS
CSp,ext,t_031,stims/animals/cricket.jpg,old,5,3,bps2,animal,old_ext_CSp,noUS
CSp,ext,t_032,stims/animals/goose_simB.jpg,sim,5,2,bps2,animal,sim_ext_b_CSp,noUS
CSm,acq,t_033,stims/tools/measuringdevice.jpg,old,5,3,bps2,tool,old_acq_CSm,noUS
CSp,acq,t_034,stims/animals/camel_simB.jpg,sim,5,3,bps2,animal,SIM_ACQ_b_CSp,YES_US
CSp,bps,t_035,stims/animals/firebug.jpg,new,5,3,bps2,animal,new_bps_CSp,noUS
CSp,acq,t_036,stims/animals/bat_simB.jpg,sim,5,2,bps2,animal,sim_acq_b_CSp,noUS
CSm,bps,t_037,stims/tools/campingstove.jpg,new,5,3,bps2,tool,new_bps_CSm,noUS
CSm,bps,t_038,stims/tools/screwdriver.jpg,new,5,3,bps2,tool,NEW_CSm,noUS
CSm,ext,t_039,stims/tools/blower.jpg,old,5,2,bps2,tool,old_ext_CSm,noUS
CSp,ext,t_040,stims/animals/marmot.jpg,old,5,2,bps2,animal,old_ext_CSp,noUS
CSm,bps,t_041,stims/tools/ruler.jpg,new,5,2,bps2,tool,new_bps_CSm,noUS
CSp,acq,t_042,stims/animals/turkey.jpg,old,5,3,bps2,animal,old_acq_CSp,YES_US
CSp,bps,t_043,stims/animals/springhare.jpg,new,5,3,bps2,animal,new_bps_CSp,noUS
CSp,bps,t_044,stims/animals/donkey.jpg,new,5,3,bps2,animal,new_bps_CSp,noUS
CSm,bps,t_045,stims/tools/duffelbag.jpg,new,5,2,bps2,tool,new_bps_CSm,noUS
CSp,acq,t_046,stims/animals/ant.jpg,old,5,2,bps2,animal,old_acq_CSp,noUS
CSm,ext,t_047,stims/tools/bucket.jpg,old,5,2,bps2,tool,OLD_EXT_CSm,noUS
CSm,ext,t_048,stims/tools/monkeywrench.jpg,old,5,2,bps2,tool,old_ext_CSm,noUS
CSp,ext,t_049,stims/animals/goldfish_simB.jpg,sim,5,3,bps2,animal,sim_ext_b_CSp,noUS
CSm,acq,t_050,stims/tools/thermometer.jpg,old,5,3,bps2,tool,OLD_ACQ_CSm,noUS
CSp,ext,t_051,stims/animals/kangaroo_simB.jpg,sim,5,2,bps2,animal,SIM_EXT_b_CSp,noUS
CSm,ext,t_052,stims/tools/netscoop_simB.jpg,sim,5,2,bps2,tool,SIM_EXT_b_CSm,noUS
CSm,bps,t_053,stims/tools/pliers.jpg,new,5,3,bps2,tool,new_bps_CSm,noUS
CSm,ext,t_054,stims/tools/workbench.jpg,old,5,3,bps2,tool,OLD_EXT_CSm,noUS
CSm,ext,t_055,stims/tools/padlock.jpg,old,5,2,bps2,tool,old_ext_CSm,noUS
CSm,ext,t_056,stims/tools/paperclip_simB.jpg,sim,5,2,bps2,tool,SIM_EXT_b_CSm,noUS
CSp,bps,t_057,stims/animals/halibut.jpg,new,5,3,bps2,animal,new_bps_CSp,noUS
CSp,acq,t_058,stims/animals/waterdragon.jpg,old,5,2,bps2,animal,OLD_ACQ_CSp,noUS
CSm,bps,t_059,stims/tools/solderingtorch.jpg,new,5,3,bps2,tool,new_bps_CSm,noUS
CSp,acq,t_060,stims/animals/elephant_simB.jpg,sim,5,2,bps2,animal,SIM_ACQ_b_CSp,noUS
CSm,bps,t_061,stims/tools/smartphone.jpg,new,5,2,bps2,tool,NEW_CSm,noUS
CSm,bps,t_062,stims/tools/carpetblower.jpg,new,5,2,bps2,tool,new_bps_CSm,noUS
CSp,ext,t_063,stims/animals/skunk.jpg,old,5,3,bps2,animal,OLD_EXT_CSp,noUS
CSm,acq,t_064,stims/tools/measuringcups.jpg,old,5,2,bps2,tool,old_acq_CSm,noUS
CSp,bps,t_065,stims/animals/ostrich.jpg,new,5,2,bps2,animal,NEW_CSp,noUS
CSm,bps,t_066,stims/tools/kettle.jpg,new,5,2,bps2,tool,new_bps_CSm,noUS
CSp,acq,t_067,stims/animals/seahorse_simB.jpg,sim,5,2,bps2,animal,sim_acq_b_CSp,noUS
CSm,ext,t_068,stims/tools/airpump.jpg,old,5,2,bps2,tool,old_ext_CSm,noUS
CSp,bps,t_069,stims/animals/palmcockatoo.jpg,new,5,3,bps2,animal,new_bps_CSp,noUS
CSm,bps,t_070,stims/tools/sparkplug.jpg,new,5,2,bps2,tool,new_bps_CSm,noUS
