CS_type,phaseOrigin,trial,stim,mem_con,cs_duration,iti_duration,phase,category,memCon_by_phase,,shocked_day1
CSm,bps,t_001,stims/animals/dolphin.jpg,new,5,2,bps2,animal,NEW_BPS_CSm,,noUS
CSm,base,t_002,stims/animals/waterdragon.jpg,old,5,2,bps2,animal,OLD_BL_CSm,,noUS
CSm,ext,t_003,stims/animals/capybara.jpg,old,5,2,bps2,animal,OLD_EXT_CSm,,noUS
CSp,base,t_004,stims/tools/stethescope_simB.jpg,sim,5,2,bps2,tool,SIM_BL_CSp,,noUS
CSm,acq,t_005,stims/animals/hummingbird.jpg,old,5,2,bps2,animal,OLD_ACQ_CSm,,noUS
CSp,acq,t_006,stims/tools/neckpillow_simB.jpg,sim,5,2,bps2,tool,SIM_ACQ_CSp,,noUS
CSp,ext,t_007,stims/tools/mallet.jpg,old,5,2,bps2,tool,OLD_EXT_CSp,,noUS
CSm,bps,t_008,stims/animals/pigeon.jpg,new,5,2,bps2,animal,NEW_BPS_CSm,,noUS
CSp,base,t_009,stims/tools/paintbrush.jpg,old,5,2,bps2,tool,OLD_BL_CSp,,noUS
CSm,bps,t_010,stims/animals/rosechafer.jpg,new,5,2,bps2,animal,NEW_BPS_CSm,,noUS
CSm,acq,t_011,stims/animals/otter_simB.jpg,sim,5,2,bps2,animal,SIM_ACQ_CSm,,noUS
CSm,base,t_012,stims/animals/frog_simB.jpg,sim,5,2,bps2,animal,SIM_BL_CSm,,noUS
CSp,ext,t_013,stims/tools/paperlantern_simB.jpg,sim,5,2,bps2,tool,SIM_EXT_CSp,,noUS
CSm,ext,t_014,stims/animals/crab_simB.jpg,sim,5,2,bps2,animal,SIM_EXT_CSm,,noUS
CSp,acq,t_015,stims/tools/reflexhammer.jpg,old,5,2,bps2,tool,OLD_ACQ_CSp,,noUS
CSp,bps,t_016,stims/tools/camera.jpg,new,5,2,bps2,tool,NEW_BPS_CSp,,noUS
CSp,bps,t_017,stims/tools/keys.jpg,new,5,2,bps2,tool,NEW_BPS_CSp,,noUS
CSm,acq,t_018,stims/animals/gerbil.jpg,old,5,2,bps2,animal,OLD_ACQ_CSm,,noUS
CSp,base,t_019,stims/tools/whistle_simB.jpg,sim,5,2,bps2,tool,SIM_BL_CSp,,noUS
CSm,acq,t_020,stims/animals/kangaroo_simB.jpg,sim,5,2,bps2,animal,SIM_ACQ_CSm,,noUS
CSm,base,t_021,stims/animals/brown_bear.jpg,old,5,2,bps2,animal,OLD_BL_CSm,,noUS
CSp,base,t_022,stims/tools/workbench.jpg,old,5,2,bps2,tool,OLD_BL_CSp,,noUS
CSm,bps,t_023,stims/animals/cranebug.jpg,new,5,2,bps2,animal,NEW_BPS_CSm,,noUS
CSp,acq,t_024,stims/tools/gradcap_simB.jpg,sim,5,2,bps2,tool,SIM_ACQ_CSp,,YES_US
CSm,bps,t_025,stims/animals/horse.jpg,new,5,2,bps2,animal,NEW_BPS_CSm,,noUS
CSp,ext,t_026,stims/tools/funnel_simB.jpg,sim,5,2,bps2,tool,SIM_EXT_CSp,,noUS
CSp,ext,t_027,stims/tools/plow.jpg,old,5,2,bps2,tool,OLD_EXT_CSp,,noUS
CSp,bps,t_028,stims/tools/viceclamp.jpg,new,5,2,bps2,tool,NEW_BPS_CSp,,noUS
CSm,base,t_029,stims/animals/bug_simB.jpg,sim,5,2,bps2,animal,SIM_BL_CSm,,noUS
CSm,ext,t_030,stims/animals/boar.jpg,old,5,2,bps2,animal,OLD_EXT_CSm,,noUS
CSp,acq,t_031,stims/tools/fan.jpg,old,5,2,bps2,tool,OLD_ACQ_CSp,,YES_US
CSp,bps,t_032,stims/tools/smartphone.jpg,new,5,2,bps2,tool,NEW_BPS_CSp,,noUS
CSp,bps,t_033,stims/tools/treadmill.jpg,new,5,2,bps2,tool,NEW_BPS_CSp,,noUS
CSm,bps,t_034,stims/animals/moth.jpg,new,5,2,bps2,animal,NEW_BPS_CSm,,noUS
